tract_id,longitude,latitude,crash_count,population,median_income,unemployment_rate
SYN0000,-76.0172,39.53545,32,31542,0.6433,0.296
SYN0001,-77.52505,39.15947,1,5431,-0.3946,-0.3719
SYN0002,-75.63631,38.37857,9,34355,-0.0051,-1.7567
SYN0003,-76.36184,39.64452,25,44954,-0.1634,0.328
SYN0004,-79.0762,39.30175,24,43308,0.3376,1.7274
SYN0005,-75.1097,39.1904,0,2420,1.4075,-1.5339
SYN0006,-76.07487,38.70885,8,13049,0.0906,0.8638
SYN0007,-75.96271,38.39003,1,12800,0.6439,-0.3285
SYN0008,-78.92349,38.0735,63,23211,-2.0502,-0.0613
SYN0009,-77.47326,39.52468,3,8008,-0.0487,-1.0529
SYN0010,-77.83141,38.7204,25,42862,-0.8432,-0.3345
SYN0011,-75.32956,38.26425,43,39061,-1.2188,1.3
SYN0012,-76.60261,38.45072,26,40609,-0.8782,0.5827
SYN0013,-75.79757,38.9426,9,10712,-0.3341,1.7323
SYN0014,-77.50464,38.21819,1,1714,0.9159,1.1774
SYN0015,-78.47743,39.44191,46,45621,-1.3264,0.4391
SYN0016,-77.00437,39.26534,11,15156,0.0306,1.7439
SYN0017,-79.21282,39.19503,21,33157,-0.4842,0.439
SYN0018,-75.77566,38.67777,4,45562,-0.3277,0.828
SYN0019,-76.65751,39.02916,2,2771,1.0028,-0.2966
SYN0020,-76.08861,38.95138,0,1268,0.5381,0.0665
SYN0021,-77.90463,39.06972,1,1266,1.3374,-0.6974
SYN0022,-75.13186,38.052,3,8659,-0.1545,0.9896
SYN0023,-75.48095,38.64845,7,3531,-0.6959,-1.1783
SYN0024,-75.99727,37.97491,24,41179,-0.2239,0.7824
SYN0025,-78.62413,38.78918,30,30690,0.2425,-0.1907
SYN0026,-77.39976,38.49375,35,49022,0.1766,1.1712
SYN0027,-79.30288,38.16014,14,40272,-1.0844,0.7509
SYN0028,-78.8057,38.08613,94,48196,0.0905,1.8206
SYN0029,-76.42628,38.95776,4,12689,0.2282,0.7308
SYN0030,-76.14857,38.20707,4,15102,2.5175,-1.572
SYN0031,-75.14621,39.56522,0,42621,1.8768,-0.067
SYN0032,-78.03379,38.94591,8,12999,-0.8532,-1.172
SYN0033,-77.83293,38.52437,0,3804,-0.2874,-0.5183
SYN0034,-77.387,38.96365,23,33787,-1.4634,1.5112
SYN0035,-78.64738,37.94105,1,40247,-0.5907,0.6375
SYN0036,-78.91535,39.62541,2,48441,0.3156,-0.6989
SYN0037,-77.35933,38.76815,21,46461,1.2059,-1.0137
SYN0038,-78.47891,39.30892,13,6891,-0.7291,0.0328
SYN0039,-76.48584,38.04891,30,38833,-0.6541,-1.2166
SYN0040,-77.53282,38.77598,37,42460,-2.1473,-0.6711
SYN0041,-75.75295,38.78327,46,35207,-0.1627,0.312
SYN0042,-76.34881,39.58809,13,41170,-1.0624,1.1553
SYN0043,-78.09435,38.92911,5,42061,-0.5294,0.6088
SYN0044,-75.75483,38.75228,5,22880,-0.8769,-2.2913
SYN0045,-75.87856,38.38056,11,2967,-0.0943,0.3044
SYN0046,-77.75635,38.49682,13,23353,-1.7577,0.072
SYN0047,-78.20252,38.83721,10,10887,-1.467,0.4139
SYN0048,-76.42877,38.69004,0,6572,2.1292,1.6162
SYN0049,-78.87111,37.9389,0,7121,-1.2874,-2.0632
SYN0050,-78.60041,39.38733,6,35171,-1.0968,-0.5911
SYN0051,-79.46687,39.51309,12,25722,1.8369,0.5909
SYN0052,-75.95884,38.15245,6,27452,2.9051,-1.5816
SYN0053,-76.50817,38.89727,26,37514,-1.1716,1.4759
SYN0054,-76.32676,38.09544,11,27865,-0.3682,0.3684
SYN0055,-75.98672,39.11003,15,31870,0.3416,0.8466
SYN0056,-77.43488,38.40622,0,5215,1.7287,-0.5709
SYN0057,-76.94066,39.08696,79,42705,-0.9869,0.8138
SYN0058,-78.87091,39.20859,21,22990,-0.2453,1.0685
SYN0059,-78.98461,39.28357,4,8605,0.7773,0.2329
SYN0060,-76.49219,38.09393,6,40853,0.4348,0.2344
SYN0061,-77.38007,39.54882,4,36996,-0.3762,0.2703
SYN0062,-76.95644,38.31439,0,3598,-0.1338,-0.8633
SYN0063,-76.05751,37.96734,4,10459,-1.3749,-0.1475
SYN0064,-76.64377,38.89873,3,1771,-0.2382,-0.1525
SYN0065,-77.00889,38.56766,0,14267,-0.2664,0.3834
SYN0066,-76.98357,39.39362,2,5899,0.2322,0.9998
SYN0067,-78.13222,39.35485,39,35785,-0.5553,-1.0585
SYN0068,-79.36132,38.47085,8,26605,0.4715,-0.125
SYN0069,-77.53477,39.61522,13,49030,1.0127,1.4815
SYN0070,-78.53437,38.42365,20,37721,0.1554,-0.7436
SYN0071,-77.66162,38.8271,4,30965,0.3518,-0.8223
SYN0072,-75.65969,38.36074,2,25956,0.0532,0.2023
SYN0073,-78.44727,39.58488,6,3670,0.0001,0.8444
SYN0074,-79.23764,38.19629,12,4439,-0.7216,0.0114
SYN0075,-78.23377,37.98084,20,31199,0.3165,1.329
SYN0076,-78.17883,38.68317,0,1214,-0.0973,0.8568
SYN0077,-76.52138,39.68628,0,3075,2.0932,0.8418
SYN0078,-76.99336,39.50502,6,11737,1.5734,0.5541
SYN0079,-75.97246,39.24749,8,44323,0.3858,2.3277
SYN0080,-76.51059,39.50343,17,23487,-0.7631,-0.2052
SYN0081,-77.67126,39.5082,2,35769,-1.1124,-2.0035
SYN0082,-75.83691,38.83395,9,21166,1.1911,1.6043
SYN0083,-78.74862,38.46867,2,9483,0.2627,-0.4577
SYN0084,-79.3978,39.28962,8,19186,0.4801,0.1079
SYN0085,-79.09478,39.09099,10,5494,-1.7446,1.3096
SYN0086,-76.24938,38.57258,31,38742,0.9274,-1.6023
SYN0087,-77.42155,38.07004,3,9993,0.4544,-1.2516
SYN0088,-78.77428,39.24422,6,19442,-1.1104,-1.6013
SYN0089,-77.2453,38.37243,37,49021,-0.4715,-0.7941
SYN0090,-78.8146,39.58626,32,30006,0.2637,0.4396
SYN0091,-76.36656,38.33375,14,23469,0.0525,0.5242
SYN0092,-77.4923,38.12096,39,27607,-0.2922,0.2763
SYN0093,-77.7854,39.396,27,39419,-0.1035,-1.4128
SYN0094,-78.1432,38.17591,2,13469,-0.252,-2.3101
SYN0095,-76.66373,38.22268,21,32184,0.1526,0.0544
SYN0096,-77.87184,38.97889,12,43761,1.4715,-0.4718
SYN0097,-79.10558,39.47421,70,29048,-2.5667,0.4594
SYN0098,-78.96897,38.25358,14,22880,-0.2369,0.702
SYN0099,-75.17146,38.45858,9,8111,0.1765,0.1382
